,symbol,token,opening,closing,prevClose,returns90,returns
25,"1183    NIFITETF-EQ
Name: TradingSymbol, dtype: object",22488,335.13,395.0,399.0,17.86470921731865,-1.0025062656641603
3,"292    TNIDETF-EQ
Name: TradingSymbol, dtype: object",8882,78.89,89.44,90.19,13.37305108378755,-0.8315777802417119
72,"2783    AXISHCETF-EQ
Name: TradingSymbol, dtype: object",3608,119.0,133.12,134.01,11.865546218487399,-0.6641295425714397
31,"1296    MOM30IETF-EQ
Name: TradingSymbol, dtype: object",10585,31.65,37.03,37.25,16.998420221169045,-0.5906040268456345
45,"1691    ITETF-EQ
Name: TradingSymbol, dtype: object",19633,34.37,39.67,39.81,15.420424789060242,-0.3516704345641813
29,"1200    NEXT50IETF-EQ
Name: TradingSymbol, dtype: object",4529,64.63,77.0,77.24,19.139718397029252,-0.31071983428274846
7,"717    SETFNN50-EQ
Name: TradingSymbol, dtype: object",7353,656.66,783.96,786.0,19.385983614046854,-0.2595419847328198
62,"2616    BSLSENETFG-EQ
Name: TradingSymbol, dtype: object",5957,71.96,79.75,79.94,10.825458588104514,-0.23767825869401768
19,"943    PVTBANIETF-EQ
Name: TradingSymbol, dtype: object",11386,23.75,26.2,26.26,10.315789473684209,-0.22848438690023712
78,"2918    ALPHAETF-EQ
Name: TradingSymbol, dtype: object",19640,23.76,28.84,28.9,21.380471380471374,-0.20761245674740042
12,"729    SENSEXIETF-EQ
Name: TradingSymbol, dtype: object",4378,813.0,907.0,908.16,11.562115621156211,-0.12773079633544399
59,"2495    CPSEETF-EQ
Name: TradingSymbol, dtype: object",2328,83.5,102.87,103.0,23.197604790419167,-0.1262135922330053
70,"2744    BANKBETF-EQ
Name: TradingSymbol, dtype: object",21986,47.14,52.73,52.78,11.858294442087391,-0.09473285335355108
69,"2743    BANKETF-EQ
Name: TradingSymbol, dtype: object",17419,471.56,527.25,527.74,11.80973789125456,-0.09284875127904064
16,"759    SBIETFIT-EQ
Name: TradingSymbol, dtype: object",740,355.0,416.65,417.0,17.366197183098585,-0.08393285371703184
