,symbol,token,opening,closing,prevClose,returns90,returns
0,"151    UTISENSETF-EQ
Name: TradingSymbol, dtype: object",10515,781.15,871.77,871.54,11.600844908148243,0.026390068155221585
1,"168    UTINIFTETF-EQ
Name: TradingSymbol, dtype: object",10511,238.14,266.92,266.6,12.085327958343843,0.1200300075018729
2,"185    UTIBANKETF-EQ
Name: TradingSymbol, dtype: object",22440,47.92,53.64,53.6,11.936560934891483,0.0746268656716402
3,"292    TNIDETF-EQ
Name: TradingSymbol, dtype: object",8882,78.89,89.44,90.19,13.37305108378755,-0.8315777802417119
4,"520    SILVRETF-EQ
Name: TradingSymbol, dtype: object",16777,83.29,91.2,91.0,9.496938407972142,0.2197802197802229
5,"522    SILVERIETF-EQ
Name: TradingSymbol, dtype: object",7942,85.09,93.37,92.95,9.730873193089671,0.4518558364712229
6,"523    SILVERETF-EQ
Name: TradingSymbol, dtype: object",15085,83.97,92.85,92.61,10.575205430510891,0.2591512795594373
7,"717    SETFNN50-EQ
Name: TradingSymbol, dtype: object",7353,656.66,783.96,786.0,19.385983614046854,-0.2595419847328198
8,"718    SETFNIFBK-EQ
Name: TradingSymbol, dtype: object",7361,476.5,533.31,533.15,11.922350472193063,0.030010316046134893
9,"719    SETFNIF50-EQ
Name: TradingSymbol, dtype: object",10176,231.25,258.63,258.6,11.839999999999998,0.011600928074235387
10,"720    SETFGOLD-EQ
Name: TradingSymbol, dtype: object",17272,63.9,64.32,63.89,0.6572769953051559,0.6730317733604517
11,"721    SETF10GILT-EQ
Name: TradingSymbol, dtype: object",17395,227.44,233.49,232.6,2.6600422089342293,0.3826311263972549
12,"729    SENSEXIETF-EQ
Name: TradingSymbol, dtype: object",4378,813.0,907.0,908.16,11.562115621156211,-0.12773079633544399
13,"730    SENSEXETF-EQ
Name: TradingSymbol, dtype: object",19224,74.39,81.52,81.5,9.584621588923236,0.024539877300608616
14,"757    SBIETFQLTY-EQ
Name: TradingSymbol, dtype: object",7218,195.76,232.24,232.02,18.63506334286883,0.09481941211964437
15,"758    SBIETFPB-EQ
Name: TradingSymbol, dtype: object",722,241.13,265.07,265.0,9.928254468543939,0.026415094339620068
16,"759    SBIETFIT-EQ
Name: TradingSymbol, dtype: object",740,355.0,416.65,417.0,17.366197183098585,-0.08393285371703184
17,"760    SBIETFCON-EQ
Name: TradingSymbol, dtype: object",5168,102.33,116.75,116.69,14.091664223590348,0.05141828777101917
18,"935    QUAL30IETF-EQ
Name: TradingSymbol, dtype: object",17808,185.8,22.09,22.05,-88.11087190527448,0.18140589569160612
19,"943    PVTBANIETF-EQ
Name: TradingSymbol, dtype: object",11386,23.75,26.2,26.26,10.315789473684209,-0.22848438690023712
20,"954    PSUBNKIETF-EQ
Name: TradingSymbol, dtype: object",14584,70.0,75.0,75.3,7.142857142857143,-0.3984063745019883
21,"1135    NV20IETF-EQ
Name: TradingSymbol, dtype: object",17475,13.28,15.39,15.35,15.88855421686748,0.26058631921824704
22,"1176    NIFTYIETF-EQ
Name: TradingSymbol, dtype: object",29553,243.37,272.19,271.64,11.842051197764716,0.20247386246503143
23,"1177    NIFTYETF-EQ
Name: TradingSymbol, dtype: object",6353,233.26,261.39,261.04,12.059504415673496,0.13407906834200348
24,"1178    NIFTYBETF-EQ
Name: TradingSymbol, dtype: object",21959,221.22,248.42,247.82,12.295452490733203,0.2421112097490091
25,"1183    NIFITETF-EQ
Name: TradingSymbol, dtype: object",22488,335.13,395.0,399.0,17.86470921731865,-1.0025062656641603
26,"1184    NIF5GETF-EQ
Name: TradingSymbol, dtype: object",22521,55.02,56.69,57.0,3.0352599054889033,-0.543859649122811
27,"1185    NIF10GETF-EQ
Name: TradingSymbol, dtype: object",22524,23.09,23.73,23.38,2.7717626678215703,1.4970059880239583
28,"1186    NIF100IETF-EQ
Name: TradingSymbol, dtype: object",30392,250.0,28.3,28.26,-88.68,0.14154281670204935
29,"1200    NEXT50IETF-EQ
Name: TradingSymbol, dtype: object",4529,64.63,77.0,77.24,19.139718397029252,-0.31071983428274846
30,"1207    NETF-EQ
Name: TradingSymbol, dtype: object",7838,236.9,262.15,262.0,10.658505698606996,0.05725190839693789
31,"1296    MOM30IETF-EQ
Name: TradingSymbol, dtype: object",10585,31.65,37.03,37.25,16.998420221169045,-0.5906040268456345
32,"1326    MIDSELIETF-EQ
Name: TradingSymbol, dtype: object",17702,149.5,18.0,17.95,-87.95986622073579,0.27855153203343014
33,"1329    MIDCAPIETF-EQ
Name: TradingSymbol, dtype: object",17152,186.4,21.99,21.92,-88.20278969957081,0.3193430656934157
