,symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,companyName,activeSeries,debtSeries,isFNOSec,isCASec,isSLBSec,isDebtSec,isSuspended,tempSuspendedSeries,isETFSec,isDelisted,isin,isMunicipalBond,quotepreopenstatus,industry,20DMA,CMP-20DMA,CMP-20DMA_%,3m_change%
61,HNGSNGBEES,Hang Seng Index,294.98,296,292.76,293.99,1.44,0.49,69711,20502702.21,265.0786,338.07,205,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,4.981431224110837,-3.9624983666535982,292.55,13.038719791759098,-43.40975609756097,https://nsearchives.nseindia.com/today/HNGSNGBEESEQN.svg,4.44,21-Jul-2023,https://nsearchives.nseindia.com/365d/HNGSNGBEES-EQ.svg,21-Jun-2024,-5.13,https://nsearchives.nseindia.com/30d/HNGSNGBEES-EQ.svg,NIPPON INDIA ETF HANG SENG BEES,['EQ'],[],False,False,True,False,False,[],True,False,INF204KB19I1,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",MUTUAL FUND,301.809,-7.819000000000017,-2.6596142725943115,15.177277179236045
182,MOREALTY,Motilal Oswal Nifty Realty ETF,110.85,110.85,107.86,109.13,-0.64,-0.58,76010,8278249.1,109.5222,115.79,85.3,-,-,Infinity,-2.658103648202662,109.77,5.751792037308931,-27.936694021101992,https://nsearchives.nseindia.com/today/MOREALTYEQN.svg,-,-,-,21-Jun-2024,-3.21,https://nsearchives.nseindia.com/30d/MOREALTY-EQ.svg,Motilal Oswal Mutual Fund - Motilal Oswal Nifty Realty ETF,['EQ'],[],False,False,False,False,False,[],True,False,INF247L01CI4,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,111.436,-2.3060000000000116,-2.1130761477137465,16.666666666666654
168,MON100,Nasdaq100,166.08,166.08,160.62,161.47,-0.49,-0.30,602614,97201638.2,159.4655,175,112.85,17-JUN-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,29.093380236648546,-0.5359122828631295,161.96,7.731428571428571,-43.0837394771821,https://nsearchives.nseindia.com/today/MON100EQN.svg,31.33,21-Jul-2023,https://nsearchives.nseindia.com/365d/MON100-EQ.svg,21-Jun-2024,0.19,https://nsearchives.nseindia.com/30d/MON100-EQ.svg,Motilal Oswal Mutual Fund - Motilal Oswal NASDAQ 100 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF247L01AP3,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,164.8375,-3.367500000000007,-2.0855267232303256,13.984187491176057
12,HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF,34.99,35.54,34.33,35.45,0.44,1.26,411243,14438741.73,34.8487,37.77,21.45,20-OCT-23,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 190.61/- PER SHARE TO RS 19.061/- PER SHARE,-83.77351581452831,-1.4456491520711594,35.01,6.142441090812815,-65.26806526806529,https://nsearchives.nseindia.com/today/HDFCMOMENTEQN.svg,-84.01,21-Jul-2023,https://nsearchives.nseindia.com/365d/HDFCMOMENT-EQ.svg,21-Jun-2024,-2.12,https://nsearchives.nseindia.com/30d/HDFCMOMENT-EQ.svg,HDFC Mutual Fund - HDFC NIFTY200 Momentum 30 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF179KC1HV6,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,36.078500000000005,-0.6285000000000025,-1.772919605077581,13.512648094780666
32,MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF,36.65,36.65,34.73,35.94,0.37,1.04,960273,34195321.53,35.2688,38.99,21.7,12-AUG-22,ADDITONAL ISSUANCE 9:1,Infinity,-1.0734929810074334,35.57,7.822518594511425,-65.6221198156682,https://nsearchives.nseindia.com/today/MOM30IETFEQN.svg,-,-,-,21-Jun-2024,-1.39,https://nsearchives.nseindia.com/30d/MOM30IETF-EQ.svg,ICICI Prudential Mutual Fund -  ICICI Pru Nifty 200 Momentum 30 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF109KC17C7,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,36.525999999999996,-0.5859999999999985,-1.630495269894264,13.770180436847095
49,MOMENTUM,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,35.44,35.78,34.75,35.71,0.25,0.71,132921,4709391.03,35.0484,38.14,21.05,-,-,64.10845588235294,-1.2990602542841319,35.46,6.371263765076034,-69.6437054631829,https://nsearchives.nseindia.com/today/MOMENTUMEQN.svg,63.71,21-Jul-2023,https://nsearchives.nseindia.com/365d/MOMENTUM-EQ.svg,21-Jun-2024,-0.98,https://nsearchives.nseindia.com/30d/MOMENTUM-EQ.svg,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Nifty 200 Mo,['EQ'],[],False,False,True,False,False,[],True,False,INF209KB14K7,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,36.2875,-0.5775000000000006,-1.6171940632875959,13.473149030823011
5,MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index,70.76,71.64,69.8,71.5,1,1.42,141593,10017704.75,70.1956,76.1,42.7,11-AUG-22,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RS 2/- PER UNIT,63.130276066621036,-1.0517575422086978,70.5,6.0446780551905315,-67.44730679156908,https://nsearchives.nseindia.com/today/MOMOMENTUMEQN.svg,62.26,21-Jul-2023,https://nsearchives.nseindia.com/365d/MOMOMENTUM-EQ.svg,21-Jun-2024,-1.97,https://nsearchives.nseindia.com/30d/MOMOMENTUM-EQ.svg,Motilal Oswal Mutual Fund - Motilal Oswal Nifty 200 Momentum 30 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF247L01BK2,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,72.61,-1.1099999999999994,-1.5524475524475516,13.762927605409702
39,MAKEINDIA,Nifty India Manufacturing Total Return Index,148.4,148.4,144.01,147.2,1.27,0.87,144990,21226536,145.6891,155.25,80.3,-,-,Infinity,0.1701258931609391,145.93,5.185185185185192,-83.31257783312577,https://nsearchives.nseindia.com/today/MAKEINDIAEQN.svg,-,-,-,21-Jun-2024,-0.63,https://nsearchives.nseindia.com/30d/MAKEINDIA-EQ.svg,Mirae Asset Mutual Fund - Mirae Asset Nifty India Manufacturing ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF769K01IB1,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,149.123,-1.9230000000000018,-1.3063858695652188,15.423821845840186
17,ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,27.99,28.32,27.1,27.8,0.33,1.20,776116,21544980.16,27.3003,29.24,16.56,-,-,Infinity,0.7611453425154072,27.47,4.924760601915177,-67.87439613526571,https://nsearchives.nseindia.com/today/ALPHAETFEQN.svg,-,-,-,21-Jun-2024,0.22,https://nsearchives.nseindia.com/30d/ALPHAETF-EQ.svg,Mirae Asset Mutual Fund - Mirae Asset Nifty 200 Alpha 30 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF769K01KU7,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,28.0865,-0.2865000000000002,-1.030575539568346,17.64705882352942
48,MAHKTECH,Hang Seng TECH Total Return Index,13.79,13.85,13.61,13.78,0.1,0.73,350830,4795846.1,12.6531,16.38,11.65,-,-,-4.105775922059846,-2.957746478873239,13.68,15.87301587301587,-18.283261802575097,https://nsearchives.nseindia.com/today/MAHKTECHEQN.svg,-5.2,21-Jul-2023,https://nsearchives.nseindia.com/365d/MAHKTECH-EQ.svg,21-Jun-2024,-2.7,https://nsearchives.nseindia.com/30d/MAHKTECH-EQ.svg,Mirae Asset Mutual Fund - Mirae Asset Hang Seng TECH ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF769K01HS7,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,13.920499999999999,-0.1404999999999994,-1.0195936139332322,10.950080515297902
