,symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,companyName,industry,activeSeries,debtSeries,isFNOSec,isCASec,isSLBSec,isDebtSec,isSuspended,tempSuspendedSeries,isETFSec,isDelisted,isin,isMunicipalBond,quotepreopenstatus,20DMA,CMP-20DMA,CMP-20DMA_%,3m_change%
66,MOREALTY,Motilal Oswal Nifty Realty ETF,110.66,110.78,108.5,109.98,0.48,0.44,86955,9569397.75,109.2024,115.79,85.3,-,-,Infinity,-0.3443276549474406,109.5,5.0177044649797065,-28.933177022274336,https://nsearchives.nseindia.com/today/MOREALTYEQN.svg,-,-,-,28-Jun-2024,-1.03,https://nsearchives.nseindia.com/30d/MOREALTY-EQ.svg,Motilal Oswal Mutual Fund - Motilal Oswal Nifty Realty ETF,,['EQ'],[],False,False,False,False,False,[],True,False,INF247L01CI4,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",110.36200000000001,-0.382000000000005,-0.3473358792507774,12.92740527774926
7,HDFCBSE500,HDFC S&P BSE 500 ETF,37.44,37.98,37.4,37.78,0.34,0.91,81735,3072418.65,37.4024,44.4,26,-,-,38.13528336380256,4.278222467568326,37.44,14.909909909909905,-45.30769230769231,https://nsearchives.nseindia.com/today/HDFCBSE500EQN.svg,37.14,28-Jul-2023,https://nsearchives.nseindia.com/365d/HDFCBSE500-EQ.svg,28-Jun-2024,4.23,https://nsearchives.nseindia.com/30d/HDFCBSE500-EQ.svg,HDFC Mutual Fund - HDFC S&P BSE 500 ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF179KC1EZ4,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",37.502500000000005,0.2774999999999963,0.7345156167284179,11.019688510138113
143,MNC,Kotak Nifty MNC ETF,31.97,31.99,31.5,31.68,-0.01,-0.03,41268,1308195.6,31.4515,32.76,21.43,-,-,Infinity,2.1605933569816127,31.69,3.2967032967032917,-47.83014465702286,https://nsearchives.nseindia.com/today/MNCEQN.svg,-,-,-,28-Jun-2024,2.72,https://nsearchives.nseindia.com/30d/MNC-EQ.svg,Kotak Mahindra Mutual Fund - Kotak Nifty MNC ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF174KA1JF2,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",31.2945,0.3855000000000004,1.2168560606060619,15.578256110908425
150,IDFNIFTYET,Nifty 50,270.01,272.6,267,268.55,-0.21,-0.08,3697,996674.23,268.331,293.45,176,-,-,28.229002530678507,1.9823035734629657,268.76,8.485261543704201,-52.58522727272728,https://nsearchives.nseindia.com/today/IDFNIFTYETEQN.svg,27.74,28-Jul-2023,https://nsearchives.nseindia.com/365d/IDFNIFTYET-EQ.svg,28-Jun-2024,2.97,https://nsearchives.nseindia.com/30d/IDFNIFTYET-EQ.svg,Bandhan Nifty 50 ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF194KA1U07,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",265.0525,3.4975000000000023,1.3023645503630616,10.065986310914383
180,LICNMID100,LIC MF Nifty Midcap 100 ETF,58.2,58.96,56.98,58,-0.26,-0.45,7215,420345.9,58.3744,59,44.1,-,-,Infinity,3.6269430051813494,58.26,1.694915254237288,-31.519274376417226,https://nsearchives.nseindia.com/today/LICNMID100EQN.svg,-,-,-,28-Jun-2024,3.94,https://nsearchives.nseindia.com/30d/LICNMID100-EQ.svg,LIC Mutual Fund - LIC MF Nifty Midcap 100 ETF,,['EQ'],[],False,False,False,False,False,[],True,False,INF767K01RN1,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",57.149,0.8509999999999991,1.4672413793103432,15.376964392281673
74,MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,54.55,55.07,54.45,54.7,0.2,0.37,159696,8719401.6,54.414,57,45.5,-,-,Infinity,4.849530381445277,54.5,4.03508771929824,-20.219780219780226,https://nsearchives.nseindia.com/today/MIDSMALLEQN.svg,-,-,-,28-Jun-2024,4.59,https://nsearchives.nseindia.com/30d/MIDSMALL-EQ.svg,MiraeAssetMF-Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,,['EQ'],[],False,False,False,False,False,[],True,False,INF769K01LJ8,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",53.89149999999999,0.8085000000000093,1.4780621572212236,10.08251157174483
99,LICNFNHGP,Nifty 100,277.25,278.78,275.78,278,0.75,0.27,515,142907.35,278.9156,290,200.75,-,-,32.69689737470167,4.319111411309989,277.25,4.137931034482759,-38.48069738480697,https://nsearchives.nseindia.com/today/LICNFNHGPEQN.svg,32.34,28-Jul-2023,https://nsearchives.nseindia.com/365d/LICNFNHGP-EQ.svg,28-Jun-2024,4.48,https://nsearchives.nseindia.com/30d/LICNFNHGP-EQ.svg,LIC MF - LIC MF ETF - Nifty 100,MUTUAL FUND,['EQ'],[],False,False,False,False,False,[],True,False,INF767K01PC8,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",273.84450000000004,4.155499999999961,1.4947841726618565,11.39605706042635
128,LICNETFSEN,SENSEX,898.83,902.15,887.83,899,0.17,0.02,131,117463.77,899.8888,903.24,674.99,-,-,24.152407783347833,3.218250915645771,898.83,0.4694211948097968,-33.18715832827153,https://nsearchives.nseindia.com/today/LICNETFSENEQN.svg,24.33,28-Jul-2023,https://nsearchives.nseindia.com/365d/LICNETFSEN-EQ.svg,28-Jun-2024,4.29,https://nsearchives.nseindia.com/30d/LICNETFSEN-EQ.svg,LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX,,['EQ'],[],False,False,False,False,False,[],True,False,INF767K01OT5,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",885.243,13.756999999999948,1.5302558398220187,10.301334903808407
91,SENSEXADD,DSP S&P BSE Sensex ETF,82.39,82.4,82.17,82.33,0.25,0.30,382,31434.78,82.1401,85.7,63.03,-,-,Infinity,2.8225302859997567,82.08,3.932322053675618,-30.620339520863077,https://nsearchives.nseindia.com/today/SENSEXADDEQN.svg,-,-,-,28-Jun-2024,2.72,https://nsearchives.nseindia.com/30d/SENSEXADD-EQ.svg,DSP BSE Sensex ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF740KA1SZ6,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",81.05699999999999,1.2730000000000103,1.5462164460099725,10.613999731291134
90,AXSENSEX,AXIS S&P BSE SENSEX ETF,82.83,83,82.59,82.7,0.25,0.30,404,33422.92,82.5428,85,62.95,-,-,23.932264348868575,3.0658025922233403,82.45,2.705882352941173,-31.37410643367752,https://nsearchives.nseindia.com/today/AXSENSEXEQN.svg,24.49,28-Jul-2023,https://nsearchives.nseindia.com/365d/AXSENSEX-EQ.svg,28-Jun-2024,2.56,https://nsearchives.nseindia.com/30d/AXSENSEX-EQ.svg,Axis Mutual Fund - AXIS S&P BSE SENSEX ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF846K010Q0,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",81.41900000000001,1.2809999999999917,1.5489721886336054,10.03193187865887
